implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),1,2160.2,17
Vulnerable (Naive),1,24044.6,18
Safe (PyCryptodome),1,2234.6,18
Vulnerable (Naive),1,28693.2,19
Safe (PyCryptodome),1,2228.6,19
Vulnerable (Naive),1,26209.8,20
Safe (PyCryptodome),1,2302.8,20
Vulnerable (Naive),1,43079.4,21
Safe (PyCryptodome),1,4552.4,21
Vulnerable (Naive),1,43869.4,22
Safe (PyCryptodome),1,3313.0,22
Vulnerable (Naive),1,29867.6,23
Safe (PyCryptodome),1,3553.0,23
Vulnerable (Naive),1,24921.0,24
Safe (PyCryptodome),1,3088.0,24
Vulnerable (Naive),1,20094.8,25
Safe (PyCryptodome),1,3182.4,25
Vulnerable (Naive),1,25634.4,26
Safe (PyCryptodome),1,2498.6,26
Vulnerable (Naive),1,20360.2,27
Safe (PyCryptodome),1,2671.8,27
Vulnerable (Naive),1,29365.0,28
Safe (PyCryptodome),1,2483.0,28
Vulnerable (Naive),1,20292.4,29
Safe (PyCryptodome),1,4386.8,29
Vulnerable (Naive),1,12960.4,30
Safe (PyCryptodome),1,2106.2,30
Vulnerable (Naive),1,10543.8,31
Safe (PyCryptodome),1,2143.2,31
Vulnerable (Naive),1,18412.8,32
Safe (PyCryptodome),1,2177.8,32
Vulnerable (Naive),1,17907.8,33
Safe (PyCryptodome),1,5399.4,33
Vulnerable (Naive),1,46502.8,34
Safe (PyCryptodome),1,3640.4,34
Vulnerable (Naive),1,44150.2,35
Safe (PyCryptodome),1,3790.0,35
Vulnerable (Naive),1,35306.6,36
Safe (PyCryptodome),1,2243.6,36
Vulnerable (Naive),1,36981.6,37
Safe (PyCryptodome),1,2158.4,37
Vulnerable (Naive),1,24590.4,38
Safe (PyCryptodome),1,2060.8,38
Vulnerable (Naive),1,27014.8,39
Safe (PyCryptodome),1,2120.4,39
Vulnerable (Naive),1,18383.2,40
Safe (PyCryptodome),1,2448.2,40
Vulnerable (Naive),1,15450.0,41
Safe (PyCryptodome),1,2538.6,41
Vulnerable (Naive),1,23008.0,42
Safe (PyCryptodome),1,2875.4,42
Vulnerable (Naive),1,19601.2,43
Safe (PyCryptodome),1,2414.8,43
Vulnerable (Naive),1,70660.6,44
Safe (PyCryptodome),1,5372.4,44
Vulnerable (Naive),1,48047.2,45
Safe (PyCryptodome),1,2091.6,45
Vulnerable (Naive),1,27740.2,46
Safe (PyCryptodome),1,2035.4,46
Vulnerable (Naive),1,24951.2,47
Safe (PyCryptodome),1,2148.4,47
Vulnerable (Naive),1,13779.6,48
Safe (PyCryptodome),1,2411.4,48
Vulnerable (Naive),1,54362.0,49
Safe (PyCryptodome),1,5193.4,49
Vulnerable (Naive),2,25742.4,0
Safe (PyCryptodome),2,3364.0,0
Vulnerable (Naive),2,17772.8,1
Safe (PyCryptodome),2,2142.8,1
Vulnerable (Naive),2,43226.8,2
Safe (PyCryptodome),2,3165.0,2
Vulnerable (Naive),2,20564.4,3
Safe (PyCryptodome),2,2118.8,3
Vulnerable (Naive),2,23607.6,4
Safe (PyCryptodome),2,2220.8,4
